filename,url,date,colorid,red,green,blue
android.comT_2019-11-25.png,android.com,2019-11-25,6,132,228,188
,6,16,12,12
secureserver.netT_2019-11-25.png,secureserver.net,2019-11-25,0,243,243,251
secureserver.netT_2019-11-25.png,secureserver.net,2019-11-25,2,140,140,140
secureserver.netT_2019-11-25.png,secureserver.net,2019-11-25,1,25,72,129
secureserver.netT_2019-11-25.png,secureserver.net,2019-11-25,3,163,163,163
secureserver.netT_2019-11-25.png,secureserver.net,2019-11-25,4,124,124,124
secureserver.netT_2019-11-25.png,secureserver.net,2019-11-25,5,188,188,188
secureserver.netT_2019-11-25.png,secureserver.net,2019-11-25,6,180,180,180
stores.jpT_2019-11-25.png,stores.jp,2019-11-25,0,201,201,201
stores.jpT_2019-11-25.png,stores.jp,2019-11-25,1,108,108,108
stores.jpT_2019-11-25.png,stores.jp,2019-11-25,2,124,124,124
stores.jpT_2019-11-25.png,stores.jp,2019-11-25,3,4,4,4
stores.jpT_2019-11-25.png,stores.jp,2019-11-25,4,78,78,78
stores.jpT_2019-11-25.png,stores.jp,2019-11-25,5,156,156,156
stores.jpT_2019-11-25.png,stores.jp,2019-11-25,6,32,64,52
twitter.comT_2019-11-25.png,twitter.com,2019-11-25,1,129,204,252
twitter.comT_2019-11-25.png,twitter.com,2019-11-25,0,219,240,252
twitter.comT_2019-11-25.png,twitter.com,2019-11-25,2,108,196,244
twitter.comT_2019-11-25.png,twitter.com,2019-11-25,3,60,176,244
twitter.comT_2019-11-25.png,twitter.com,2019-11-25,4,196,228,252
twitter.comT_2019-11-25.png,twitter.com,2019-11-25,5,188,228,252
twitter.comT_2019-11-25.png,twitter.com,2019-11-25,6,247,252,252
adobe.comT_2019-11-25.png,adobe.com,2019-11-25,0,149,149,149
adobe.comT_2019-11-25.png,adobe.com,2019-11-25,1,214,214,214
adobe.comT_2019-11-25.png,adobe.com,2019-11-25,3,107,107,107
adobe.comT_2019-11-25.png,adobe.com,2019-11-25,4,76,76,76
adobe.comT_2019-11-25.png,adobe.com,2019-11-25,5,124,124,124
adobe.comT_2019-11-25.png,adobe.com,2019-11-25,6,180,180,180
adobe.comT_2019-11-25.png,adobe.com,2019-11-25,2,5,5,5
ea.comT_2019-11-25.png,ea.com,2019-11-25,0,150,150,150
ea.comT_2019-11-25.png,ea.com,2019-11-25,1,5,5,5
ea.comT_2019-11-25.png,ea.com,2019-11-25,2,216,216,216
ea.comT_2019-11-25.png,ea.com,2019-11-25,3,107,107,107
ea.comT_2019-11-25.png,ea.com,2019-11-25,5,124,124,124
ea.comT_2019-11-25.png,ea.com,2019-11-25,4,76,76,76
ea.comT_2019-11-25.png,ea.com,2019-11-25,6,180,180,180
ehow.comT_2019-11-25.png,ehow.com,2019-11-25,0,151,151,151
ehow.comT_2019-11-25.png,ehow.com,2019-11-25,1,214,214,214
